Anks1b-Bait	Syngap1-Bait	Shank2-Bait	Shank3-Bait	Nckap1-Bait	Nbea-Bait	Ctnnb1-Bait	Lrrc4c-Bait	Iqsec2-Bait	Arhgef9-Bait	Ank3-Bait	Scn2a-Bait	Scn8a-Bait	Hnrnpu-Bait
Dock3	Lrrc4			Mrtfb	Arhgef9	Fam171a2	Gse1	Elmo2		Tacc1	Robo1	Cc2d1a	Atp9a
Sec23a	Tjp1			Edc3	Bcl11a	Sipa1l3	Ctnnd2	Ablim1		Anxa2	Mtmr6	Scrib	Hnrnpa0
Znf365	Lrrc7			Glo1	Kcnd2	Pals2	Scamp1	Ptprf		Arhgef7	Epb41l1	Nin	U2af1
Skt	Tenm4			Sirt2	Eif4g1	Dlg3	Shisa7	Nrxn1		Specc1	Slc8a1	Robo2	Osgep
N4bp3	Magi3			Tjp2	Gprin1	Arhgap5	Uaca	Ist1		Crip2	Fbxo42	Wasf3	
Csrp1	Gas7			Rims2	Plppr1	Pkp4	Agfg2	Adcy8		Reps2	Cox6a1	Aftph	
Gprin3	Rem2			Cdh4	Abi2	Zdhhc8	Eif3e	Magi1		Tnrc6b	Septin5	Jakmip1	
Elfn1	Agfg2			Dop1a	Slitrk5	Asrgl1	Grm4	Sh3pxd2b		Sec23a	Rap1gap	Snap25	
Enah	Fam222b			Aldh1a2	Prkaa2	Naxd	Lrfn2	Prrc2b		Ythdc2	Tln2	Mtmr6	
Cdkn2aip	Togaram1			Grin1	Ppp1r13b	Rapgef2	Adcy8	Plppr4		Rab11fip5	Caskin1	Kifap3	
Dap3	Numb			Trim9	Pde1a	Lrrc4c	Nebl	Atp2a3		Slc4a10	Gprin1	Itsn1	
Atp13a1	Arfgap1			Robo1	Slc38a1	Glul	Cpe	Tnik		Prkar2b	Stxbp5l	Scn1b	
Ctnnb1	Ablim1			Hspg2	Helz	Arhgap32	Kiaa1549	Tdrd3		Tbcb	Prkar2b	Sec23b	
Shisa6	Dchs1			Mink1	Flrt1	N4bp3	Homer1	Sh3gl2		Map1a	Septin9	Gnpat	
Mtss2	Ythdf3			Erbb4	Gabrd	Arhgap21	Fam81a	Iqsec3		Arhgef18	Bcas3	Cacna2d1	
Pik3ca	Zc3h12c			Skt	Picalm	Ndrg2	Dnajb4	Asap1		Eif4g2	Aatk	Yes1	
Sipa1l1	Asap1			Leng8	Gria1	Tanc1	Mink1	Sh3rf1		Scn2b	Lrsam1	Septin6	
Cobl	Homer3			Grm1	Megf8	Pik3c2a	Pdxdc1	Kcna4		Epb41l1	Numb	Nefh	
Cpeb2	Uaca			Api5	Hnrnpa1	Rnf135	Sh3pxd2b	P33monox		Smg6	Sncg	Nf2	
Ensa	Synpo			Fat3	Ppip5k1	Nck1	Stx1b	Pik3r1		Plekha6	Scn8a	Septin11	
Sh3rf3	Arhgap33			Prrc2c	Hnrnpl	Ncor1	Caskin1	Igsf9b		Epn1	Slc9a1	Fbxo42	
Tcf20	Exph5			Ctnnd2	Map3k10	Ykt6	Homer2	Cdv3		Reps1	Astn1	Got1	
Vps41	Pik3r2			Gabbr2	Bcas3	Dab2ip	Cyld	Rapgef2		Caskin1	Spata2	Sec22b	
Erbin	Crkl			Cpeb2	Akap8l	Pard3	Elmo1	Numb		Pym1	Mb21d2	Lzts3	
Smg9	Map4k3			Pdlim5	Lrba	Adgrb2	Agap1	Pgam5		Stmn1	Plxna4	Gpm6a	
Cttn	Jcad			Gprin1	Rap1gap	Rgs12	Gabbr1	Arhgap32		Scn3a	Arhgap21	Slc4a8	
Dcp1b	Vps18			Mia3	Ezr	Adgrb3	Cyth1	Plekha7		Znf365	Lig3	Snap29	
Cyth1	Elob			Ptcd1	Cadps	Pak2	Hcn1	Camk2d		Robo2	Elfn2	Nefl	
Flrt3	Amot			Sorbs1	Tnrc6b	Snta1	Insyn1	Cpeb2		Apc	Cc2d1a	Camsap1	
Amot	Cpeb3			Slc4a10	Gda	Cdkl5	Sntb2	Cyth1		Iqsec3	Slc4a3	Rtn4	
Wwc2	Brinp1			Golga3	Relch	Tenm3	Fam131b	Arhgap33		Ubap2l	Septin4	Nacad	
Aldh1a2	Plxna1			Grm5	Tdrp	Tnik	Tnik	Csnk1e		Ank2	Septin8	Slc9a1	
Tbr1	Pik3r1			Got1	Abhd3	Smg7	Anks1a	Erbb4		Ube2o	Csnk2b	Sgip1	
Fnbp1l	Sh3gl2			Arap1	Cct8	Eif4enif1	Arhgap32	Kcnj10		Strip1	Cyc1	Kctd16	
Nfx1	Astn2			Bcl11a	Arhgef7	Pik3ca	Dcc	Adam22		Ykt6	Pak3	Rab11fip5	
Bsn	Wasf3			Mdga2	Gabra4	Brinp1		Elob		Afdn	Vps45	Dlg3	
Cdh4	Ptpn14			Tnrc6c	Pabpc1	Map4k3		Prrt1		Ina	Lypla2	Ina	
Jcad	Whrn			Arhgap32	Usp25	Agfg2		Sorbs1		Peak1	Znf521	Scn2a	
Ctnnd2	Csnk1e			Tle5	Epb41l1	Syngap1		Naxd		Pde4a	Tmem163	Stxbp5l	
Kalrn	Rab11fip2			Amot	Magi3	Pik3r1		Amot		Hcn2	Reps1	Slc39a10	
Cct8	Sec23a			Scyl2	Pak2	Cask		Cxadr		Camsap2	Kiaa1109	Kcnj10	
Bcl11a	Znf365			Kcnj3	Nhsl1	Erc2		Cnksr2		Ryr2	Yes1	Dpp6	
Prickle2	Naxd			Tanc2	Pdxdc1	Stambpl1		Znf365		Git1	Katnal1	Kiaa1109	
Sirt2	Arfgap2			Gab2	Marf1	Sirt2		Cc2d1a		Gspt1	Numbl	Hspg2	
Dvl1	Tenm2			Strn4	Iqcb1	Tnrc6b		Jcad		Camk2g	Lysmd2	Ralbp1	
Rin1	Ptprf			Fermt2	Tacc1	Eif4g2		Arfgap1		Smap2	Prrt3	Etf1	
Prrc2b	Cdh10				Astn1	Plppr4		Zc3h12c		Pcmt1	Ahcyl2	Cyld	
Cttnbp2nl	Adgrb1				Ppp1r12b	Lasp1		Mink1		Tex2	Kcnc3	Gabbr2	
Nyap2	Flrt2				Fam114a2	Prex2		Tbr1		Niban2	Tbc1d10a	Shisa9	
Homer3	Ubap2l				Lrsam1	Rbm33		Kctd16		Grasp	Mtss2	Dmtn	
Rapgef4	Cacng3				Hspa4	Vwa5a		Nmral1		Srgap2	Ppp1r2	Cacng8	
Cc2d1a	Ctnnd2				Rc3h1	Smap1		Dcp1b		Plcb1	Oscp1	Csnk2a2	
Sh3rf1	Arhgap39				Flrt2	Tenm2		Grm7		Ssr3	Cldnd1	Tenm3	
Plekha7	Dcp1a				Gigyf1	Gigyf2		Fbxo41		Gnpat	Stx1a	Mcf2l	
Itsn2	Tnrc6a				Ist1	Top3b		Csnk1d		Dagla	Prrt2	Cd200	
Arhgap33	Ubap2				Psma6	Flrt2		Dcaf7		MAP11	Epb41l3	Ktn1	
Pkp4	Srcin1				Adgrb1	Derpc		Auts2		Mtmr1	Gspt1	Lrch2	
Bcas3	Sh3pxd2b				Tinagl1	Eif4h		Arhgap44		Nin	Rtn4	Nefm	
Sugp2	Ist1				Nlgn1	Mtss2		Gsk3a		Ago2	C16orf70 homolog	Astn1	
Agap1	Pelo				Dnajc6	Dvl3		Xrn1		Map2	Flad1	Arglu1	
Ccdc120	Cyth3				Rab11fip2	Cemip2		Pelo		Vcpip1	Strada	Rap1gap	
Prr12	Scrib				C16orf70 homolog	Abi2		Crtc1		Wdr20	Brinp1	Srpra	
Crip2	Cyth1				Arfgap1	Prrc2b		Tanc1			Ncam2	Tenm2	
Dock4	Zdhhc17				Peak1	Crip2		Gabrb3			Dmtn	Zdhhc8	
Mtus2	Nhsl2				Vipas39	Mobp		Camk2a			Kctd16	Ncam2	
Arhgap35	Cnksr2				Gad2	Astn2		Camk2b			Ank2		
Map4k3	Tcf20				Lasp1	Cyfip1		Arhgap39			Golga4		
Caskin1	Fbxo41				Glra3	Ablim3		C2cd4c			Gabbr2		
Sf1	Edc3				Arhgef18	Dock7		Ptpn14			Garem1		
Fbxo41	Gsk3a				Crip2	Nckap1		Igsf11			Tmcc2		
Btbd11	Itsn2				Lrrc7	Pcdh19		Insyn1			Tenm2		
Grip1	Xrn1				Ryr2	Erbb4		Nfs1			Hectd1		
Asrgl1	Eps15l1				Septin3	Cplx3		Neto2			Dlg3		
Nrxn1	Dvl1				Srgap2	Kank2		Tanc2			Dlg1		
Ntrk3	Kcnh1				Elfn1	Sntb1		Sema4a			Insyn1		
Hnrnpk	Derpc				Oxr1	Arfgap2		Cyth3			Reps2		
Pak3	Grip1				Lypla2	Dlg5		Ablim3			Prkar2a		
Synpo	Tenm3				Ykt6	Lrfn2		Naa25			Add2		
Git1	Grm8				Kcnd1	Arhgef9		Sec23a			Itsn1		
Ptpn14	Ift172				Eif3c	Neto1		Eif4g2			Smcr8		
Atxn2l	Dcaf7				Tdrd3	Nebl		Crkl			Dnajc6		
Nup155	Nrxn1				Tln2	Dlg1		Dzank1			Tacc1		
Arhgef7	Cpeb4				Trappc11	Gsk3a		Sntb2			Srgap2		
Gphn	Ago2				Tjp1	Gpr158		Dvl1			Kpna3		
Dmtn	Pik3ca				Git1	C2cd4c		Stt3a			Astn2		
Dyrk1a	Dock4				Cttn	Sec23a		Gnl1			Aftph		
Smap2	Pak2				Inpp5j	Fgd6		Pip4k2c			Ebag9		
Cnksr2	Gria2				Aak1	Pak3		Rnf40			Stx7		
Cxadr	Kcna4				Fbl	Lrsam1		Dnajb4			Cadps		
Mad2l1	Adam22				Wwc2	Ppia		Cdh6			Mtdh		
Kpna4	Csnk1d				Ppme1	Gstm5		Sorbs3			Kctd3		
Prpf40b	Elmo2				Map1a	Nhsl2		Cnot1			Abi2		
Pclo	Igsf9b				Camsap1	Lamb2		Tenm2			Hcn2		
Snap91	Ablim3				Stxbp5	Cyfip2		Ctnnd2			Araf		
Akap8	Shisa7				Caskin1	Dcp1b		Ntrk3			Fmn2		
Arfgap1	Ctnna2				Hook3	Dock4		Ythdc2			Frs3		
Crkl	Peak1				Uprt	Tdrd3		Pak3			Kcnc1		
Hnrnpa3	Crtc1				Crybg3	Tanc2		Agfg2			Pitpnm1		
Fdps	Sestd1				Scyl1	Cyth1		Grip1			Jakmip1		
Eps8	Eif4g2				Dtx3	Myo6		Pip4k2b			Actr1a		
Plppr1	Shc3				Plppr3	Clmn		Tiam1			Afdn		
Erc2	Rassf8				Lin54	Fscn1		Map4k4			Pcdh19		
Sntb2	Grm4				Plcb1	Picalm		Exoc7			Tenm3		
Sestd1	Camk2d				Rpl21	Tnrc6c		Tnk2			Fsd1		
Cldnd1	Plppr3				Frs3	Gpt2		Nhsl2			Mtmr1		
Wasf1	Rin1				Stk3	Kcnj4		Maco1			Scrib		
Lrrtm1	Nmral1				Ralgapb	Minar1		Cep170			Vamp2		
Zdhhc17	Cttn				Eif4g2	Auts2		Rufy2			Slitrk5		
Adgrl3	Sorbs3				Pak3	Cacng8		Dyrk1a			Vasp		
Vamp3	Iqsec1				Edc3	Cnn3		Lancl1			Src		
Rimbp2	Cdh8				Efnb2	Nmral1		Rin1			Wnk3		
Nhsl2	Kcnj10				Copz1	Ppp1r16b		Snx27			Hcn1		
Zc3h12c	Arhgap44				Necab2	Vps18		Gabra3			Dpysl2		
Lrch2	Usp6nl				Grin2b	Pak5		Endod1			Emd		
Cacng2	Ntrk3				Golga4	Elfn2		Dlg5			Stk3		
Cpeb4	Ppp3ca				Wwc1	Glo1		Arfgap2			Psd3		
Vapb	Pkp4				Plppr4	Dip2a		Rps17			Shisa9		
Elmo2	Agfg1				Kpna4	Dock3		Wasf3			Hspa4		
Adgrl2	Atxn2l				N4bp3	Sntb2		Plppr3			Smap2		
Bcar1	Cyth2				Scamp1	Tnk2		Smap1			Lasp1		
Mdga2	Pak5				Septin11	Stx1b		Mtmr1			Stk26		
Kctd3	Arap1				Gspt1	Spata2		Cyth2			Fam171a2		
Adgrl1	Agap1				Eif4enif1	Phldb1		Synpo			Spred1		
Dip2a	Camk2a				Adcy8	Numbl		Rps6ka2			Col6a1		
Nlgn1	Inpp5j				Tenm4	Gse1		Ywhah			Tdrd3		
Bcl11b	Ppia				Grb2	Cit		Git1			Them6		
Cyth3	Grb2				Sec23b	Dock9		Gabrb1			Nos1		
Lmtk3	Magi1				Stmn1	Gabbr2		Sestd1			Rap1gap2		
Apc	Smap1				Rasgrf1	Fkbp15		Ccdc177			Plxna1		
Prpf6	Hdac3				Adgrb2	Usp2		Kifbp			Sec24a		
Pan3	Sntb2				Cacng8	Cpeb2		Hecw2			Fnbp1l		
Scyl2	Taok2				Atxn2l	Mink1		Arap1			Wasf1		
Grm8	Naa25				Polr2a	Lancl1		Lrrtm2			Slc4a8		
Scrib	R3hdm2				Hcn2	Shisa6		Arhgap26			Rims4		
	Agap3				Ap4m1	Gabrb3		Grb2			Cacng8		
	C2cd4c				Obi1	Clint1		Cpne8			Abr		
	Dbnl				Kcna4	Sema6a		Gabrg2			Cpne8		
	Cdh20				Numbl	Sh3rf3		Eif4b			Sgsm2		
	Nf2				Pclo	Ndufc2		Camk2g			Necap1		
	Sema4a				Map2	Col4a2		Stambpl1			Gabbr1		
	Cdh6				Dpp6	Dscaml1		Pik3ca			Rgs7		
	Lpp				Neo1	Xrn1		Arhgef7			Csrp1		
	Neto2				Dvl1	Grin2b		Dbnl			Etf1		
	Camk2g				Cyld	Dzank1		Pkp4			Cdc42bpb		
	Rps6ka2				Grin1	Gria1		Pak2			Kcnj10		
	Usp2				Tkt	Col4a1		Kctd12			Ehbp1		
	Camk2b				Lmtk3	Pfn1		Agfg1			Adam22		
	Dync1i2				Grm8	Gprc5b		Tut7			Zdhhc8		
	Atp2a3				Dock4	Epb41l2					Slc25a13		
	Bcl11b				Csde1	Anks1b					Pcdha10		
	Pgam5				Gripap1	Smg9					Sec23b		
	Arid1b				Rock2	Prex1					Spast		
	Stambpl1				Neto2	Sipa1l1					Sorbs2		
	Cdh2				Upf1	Ablim1					Tdrp		
	Dlg5				Ahcyl2	Dlgap4					Armc6		
	Ripor1				Ap1g1	Zc3h12c					Glod4		
	Clint1				Tbc1d5	Crkl					Arfgap2		
	Pak6				Dip2a	Stxbp1					Limch1		
	Bsn				Sipa1l2	Tkt					Cyld		
	Igbp1				Clasp2	Adgrb1					Pex5l		
	Maco1				Ank3	Mag					Fam126b		
	Lzts1				Gpr158	Cstf2					Nsmf		
	Sf1				Fnbp1l	Shank3					Ndufa6		
	Afdn				Lzts3	Rasa3					Dip2a		
	Ptprk				Sorbs1	Limch1					Impa1		
	Ccdc177				Mios	Lrrtm4					Ppp2r2c		
	Akap8				Fsd1	Ccdc88a					Lrch2		
	Ctnnb1				Map7d1	Lrrc7					Lrrc4b		
	Hdac4				Smap2	Mtus2					Plcl2		
	Rapgefl1				Rprd2	Srgap1					Apc		
	Rnf214				Rpl14	Arhgef18					Pkn1		
	Azi2				Itsn2	Stk3					Ccdc85a		
	Insyn1				Jakmip3						Pigk		
	Igsf11				Mink1						Fermt2		
	Fam171a2				Ipcef1						Plppr4		
	Skt				Fam131b						Cacnb1		
	Cdh7				Srgap3						Sdk2		
	Dyrk1a				Morn4						Kcnq5		
	Apc				Hspa4l						Gripap1		
	Lrfn2				Rabgap1l						Chmp2b		
	Rnf40				Togaram1						Sh3pxd2a		
	Nav1				Arfgef1						Fam131b		
	GOLGA7B				Sec23a						Dvl1		
	Dip2a				Gabbr1						Aak1		
	Tnk2				Nyap2						Edc3		
	Snx27				C2cd4cC2CD4 family						Tnik		
	Smap2				Snx6						Kiaa0100		
	Arhgap26				Rabl6						Ythdc2		
	Ppp2r2c				Magi2						Lzts3		
	Pnpla6				Tnik						Pald1		
	Rbm33				Trim9						Lingo1		
	Rc3h1				Dvl3						Kcna4		
	Sash1				Dock3						Wdr47		
	Nfs1				Dyrk1a						Rab11fip5		
	Adgrl3				Trappc10						Tbc1d24		
	Map4k4				Rabgap1						Sestd1		
	Map3k7				Ago2						Grb2		
	Dtna				Gna12						Necab2		
	Endod1				Jcad						Ildr2		
	Cdh11				Sntb2						Cttn		
	Kctd16				Rps8						Ubap2		
					Arfgap2						Csnk2a2		
					Dtna						Rpl18		
					Asphd2						Akap12		
					Dmtn						Vps35		
					Grin2a						Cdc42ep4		
					Zdhhc8						Sema4a		
					Cul3						Cdc37		
					Sipa1l1						Dpp6		
					Enah						Smg9		
					Gria2						Kcna2		
					Lzts1						Xrn1		
					Eea1						Csde1		
					Trappc12						Cacna1e		
					Cdc42bpb						Rasgrf1		
					Golga3						Ophn1		
					Rps6ka2						Rabgap1l		
					Rasgrf2						Mpp1		
					Katnal1						Vps37a		
					Cyth1						Ctnnb1		
					Sntb1						Lmna		
					Erc2						Arhgap23		
					Srgap1						Oxr1		
					Pitpnm1						Mink1		
					Mical3						Arhgef18		
					Grasp						Tjp1		
					Ythdf1						Crbn		
					Dpysl2						Syt3		
					Ildr2						Cask		
					Ncor2						Scn1b		
					Ssh2						Psmc3		
					Sh3pxd2b						Syt7		
					Rapgef2						Lrfn2		
					Akap10						Tkt		
					Mapk3						Plekha6		
					Skt						Gab2		
					Tnrc6c						Mcf2l		
					Erbin						Hsph1		
					Shisa6						Gnb5		
					Arhgap5						Tppp		
					Rpl6						Cct8		
					Homer2						Kcnj3		
					Nrxn1						Scyl1		
					Gigyf2						Bcl11a		
					Syt5						Bmpr2		
					Bsn						Hnrnpa2b1		
					Cdc37						Vcpip1		
					Pde4a						Mark3		
					Slc25a46						Cyfip2		
					Dlgap4						Adcy3		
					Hnrnpa2b1						Kiaa0513		
					Slc6a17						Jcad		
					Pcdh8						Pde1a		
					Tbc1d15						Nudt2		
					Clip2						Cap1		
					Prag1						Eif4g2		
					Ddn						Nckap1		
					Pik3ca						Map3k10		
					Reps2						Niban2		
					Gpsm1						Myo1d		
					Prkar2b						Nudc		
					Snap25						Ina		
					Stx1b						Sirt2		
					Ntrk3						Gad2		
					Wdr13						Add1		
					Scrib						Dvl3		
					Eif4g3						Gna12		
					Aars						Arfgap3		
					Rimbp2						Scyl2		
					Phactr1						Clip2		
					Sgip1						Prph		
					Kcnma1						Peak1		
					Pcdh19						Wnk1		
					Mon2						Efr3a		
					Mpp1						Ap1b1		
					Prrc2c						Rasa3		
					Ap3d1						Cacnb4		
					Tenm3						Slc2a3		
					Palm						Ociad2		
					Cgnl1						Cd200		
					Gabrg3						Flot1		
					Cdh7						Map7		
					Grm5						Adcy5		
					Sh3rf3						Tmem132a		
					Map6d1						Rasal1		
					Tbk1						Ctnna2		
					Arfgef2						Rell1		
					Rpl34						Mrtfb		
					Ntrk2						Sltm		
					Ogt						Acly		
					Rapgef4						Nav3		
					Kctd16						Scai		
					Sirt2						Slk		
					Araf						Baiap3		
					St8sia3						Flot2		
					Map1b						Eif4g1		
